0.4	0.38	59	0.153	0.349	230
0.49	0.43	59	0.17	0.349	225
0.35	0.33	73	0.17	0.384	216
0.37	0.36	70	0.17	0.384	255
0.35	0.33	74	0.174	0.396	214
0.37	0.36	71	0.174	0.396	208
0.39	0.4	50	0.181	0.343	238
0.4	0.4	50	0.159	0.364	234
0.39	0.36	52	0.186	0.351	230
0.4	0.355	53	0.186	0.351	230
0.38	0.375	50	0.165	0.387	218
0.37	0.35	59	0.187	0.355	244
0.39	0.37	65	0.161	0.344	220
0.4	0.39	57	0.151	0.331	202
0.35	0.35	53	0.124	0.29	203
0.365	0.3525	75	0.129	0.332	216
0.34	0.357	55	0.151	0.333	219
0.37	0.35	58	0.139	0.245	187
0.3575	0.375	50	0.18	0.36	225
0.41	0.485	75	0.146	0.318	204
0.38	0.355	78	0.144	0.338	190
0.385	0.357	50	0.148	0.282	193
0.38	0.37	50	0.142	0.262	181
0.382	0.36	50	0.139	0.3	211
0.38	0.397	50	0.139	0.3	210
0.3925	0.37	110	0.125	0.311	206
0.382	0.4	110	0.125	0.311	206
0.387	0.365	110	0.128	0.322	219
0.387	0.405	110	0.128	0.322	219
